Year,Planet
1339,Jupiter
1340,Jupiter
1341,Jupiter
1342,Jupiter
1343,Jupiter
1344,Jupiter
1345,Jupiter
1346,Jupiter
1347,Jupiter
1348,Jupiter
1349,Jupiter
1350,Jupiter
1351,Jupiter
1352,Jupiter
1353,Jupiter
1354,Jupiter
1355,Jupiter
1356,Jupiter
1357,Jupiter
1358,Jupiter
1359,Jupiter
1360,Jupiter
1361,Jupiter
1362,Jupiter
1363,Jupiter
1364,Jupiter
1365,Jupiter
1366,Jupiter
1367,Jupiter
1368,Jupiter
1369,Mercury
1370,Mercury
1371,Mercury
1372,Mercury
1373,Mercury
1374,Mercury
1375,Mercury
1376,Mercury
1377,Mercury
1378,Mercury
1379,Mercury
1380,Mercury
1381,Mercury
1382,Mercury
1383,Mercury
1384,Mercury
1385,Mercury
1386,Mercury
1387,Mercury
1388,Mercury
1389,Mercury
1390,Mercury
1391,Mercury
1392,Mercury
1393,Mercury
1394,Mercury
1395,Mercury
1396,Mercury
1397,Mercury
1398,Mercury
1399,Mercury
1400,Mercury
1401,Mercury
1402,Mercury
1403,Mercury
1404,Mercury
1405,Mars
1406,Mars
1407,Mars
1408,Mars
1409,Mars
1410,Mars
1411,Mars
1412,Mars
1413,Mars
1414,Mars
1415,Mars
1416,Mars
1417,Mars
1418,Mars
1419,Mars
1420,Mars
1421,Mars
1422,Mars
1423,Mars
1424,Mars
1425,Mars
1426,Mars
1427,Mars
1428,Mars
1429,Mars
1430,Mars
1431,Mars
1432,Mars
1433,Mars
1434,Mars
1435,Mars
1436,Mars
1437,Mars
1438,Mars
1439,Mars
1440,Mars
1441,Moon
1442,Moon
1443,Moon
1444,Moon
1445,Moon
1446,Moon
1447,Moon
1448,Moon
1449,Moon
1450,Moon
1451,Moon
1452,Moon
1453,Moon
1454,Moon
1455,Moon
1456,Moon
1457,Moon
1458,Moon
1459,Moon
1460,Moon
1461,Moon
1462,Moon
1463,Moon
1464,Moon
1465,Moon
1466,Moon
1467,Moon
1468,Moon
1469,Moon
1470,Moon
1471,Moon
1472,Moon
1473,Moon
1474,Moon
1475,Moon
1476,Moon
1477,Sun
1478,Sun
1479,Sun
1480,Sun
1481,Sun
1482,Sun
1483,Sun
1484,Sun
1485,Sun
1486,Sun
1487,Sun
1488,Sun
1489,Sun
1490,Sun
1491,Sun
1492,Sun
1493,Sun
1494,Sun
1495,Sun
1496,Sun
1497,Sun
1498,Sun
1499,Sun
1500,Sun
1501,Sun
1502,Sun
1503,Sun
1504,Sun
1505,Sun
1506,Sun
1507,Sun
1508,Sun
1509,Sun
1510,Sun
1511,Sun
1512,Sun
1513,Saturn
1514,Saturn
1515,Saturn
1516,Saturn
1517,Saturn
1518,Saturn
1519,Saturn
1520,Saturn
1521,Saturn
1522,Saturn
1523,Saturn
1524,Saturn
1525,Saturn
1526,Saturn
1527,Saturn
1528,Saturn
1529,Saturn
1530,Saturn
1531,Saturn
1532,Saturn
1533,Saturn
1534,Saturn
1535,Saturn
1536,Saturn
1537,Saturn
1538,Saturn
1539,Saturn
1540,Saturn
1541,Saturn
1542,Saturn
1543,Saturn
1544,Saturn
1545,Saturn
1546,Saturn
1547,Saturn
1548,Saturn
1549,Venus
1550,Venus
1551,Venus
1552,Venus
1553,Venus
1554,Venus
1555,Venus
1556,Venus
1557,Venus
1558,Venus
1559,Venus
1560,Venus
1561,Venus
1562,Venus
1563,Venus
1564,Venus
1565,Venus
1566,Venus
1567,Venus
1568,Venus
1569,Venus
1570,Venus
1571,Venus
1572,Venus
1573,Venus
1574,Venus
1575,Venus
1576,Venus
1577,Venus
1578,Venus
1579,Venus
1580,Venus
1581,Venus
1582,Venus
1583,Venus
1584,Venus
1585,Jupiter
1586,Jupiter
1587,Jupiter
1588,Jupiter
1589,Jupiter
1590,Jupiter
1591,Jupiter
1592,Jupiter
1593,Jupiter
1594,Jupiter
1595,Jupiter
1596,Jupiter
1597,Jupiter
1598,Jupiter
1599,Jupiter
1600,Jupiter
1601,Jupiter
1602,Jupiter
1603,Jupiter
1604,Jupiter
1605,Jupiter
1606,Jupiter
1607,Jupiter
1608,Jupiter
1609,Jupiter
1610,Jupiter
1611,Jupiter
1612,Jupiter
1613,Jupiter
1614,Jupiter
1615,Jupiter
1616,Jupiter
1617,Jupiter
1618,Jupiter
1619,Jupiter
1620,Jupiter
1621,Mercury
1622,Mercury
1623,Mercury
1624,Mercury
1625,Mercury
1626,Mercury
1627,Mercury
1628,Mercury
1629,Mercury
1630,Mercury
1631,Mercury
1632,Mercury
1633,Mercury
1634,Mercury
1635,Mercury
1636,Mercury
1637,Mercury
1638,Mercury
1639,Mercury
1640,Mercury
1641,Mercury
1642,Mercury
1643,Mercury
1644,Mercury
1645,Mercury
1646,Mercury
1647,Mercury
1648,Mercury
1649,Mercury
1650,Mercury
1651,Mercury
1652,Mercury
1653,Mercury
1654,Mercury
1655,Mercury
1656,Mercury
1657,Mars
1658,Mars
1659,Mars
1660,Mars
1661,Mars
1662,Mars
1663,Mars
1664,Mars
1665,Mars
1666,Mars
1667,Mars
1668,Mars
1669,Mars
1670,Mars
1671,Mars
1672,Mars
1673,Mars
1674,Mars
1675,Mars
1676,Mars
1677,Mars
1678,Mars
1679,Mars
1680,Mars
1681,Mars
1682,Mars
1683,Mars
1684,Mars
1685,Mars
1686,Mars
1687,Mars
1688,Mars
1689,Mars
1690,Mars
1691,Mars
1692,Mars
1693,Moon
1694,Moon
1695,Moon
1696,Moon
1697,Moon
1698,Moon
1699,Moon
1700,Moon
1701,Moon
1702,Moon
